# id method1_energy method2_energy
1 -9.05287050977158 -9.05287050977158
2 22.6913830931021 22.6913830931022
3 24.7285226250236 24.7285226250236
4 8.28380176770084 8.28380176770084
5 -6.55666407180763 -6.55666407180763
6 -12.0524436996737 -12.0524436996737
7 -2.19177732726662 -2.19177732726662
8 -5.68398015056319 -5.68398015056319
9 -8.62038997882427 -8.62038997882427
10 -0.478930204024575 -0.478930204024573
11 -12.6586194815772 -12.6586194815772
12 -8.1400844450313 -8.1400844450313
13 -17.1396775430644 -17.1396775430644
14 -4.59625158485808 -4.59625158485809
15 0.534709250427628 0.53470925042763
16 13.5824125095048 13.5824125095048
17 -5.48155590816262 -5.48155590816262
18 9.75817214850423 9.75817214850423
19 -14.1008452455366 -14.1008452455366
20 -10.070457167477 -10.070457167477
21 7.71024739902667 7.71024739902667
22 -15.7397449206258 -15.7397449206258
23 -5.54483236385789 -5.54483236385789
24 25.6132969026243 25.6132969026243
25 -6.01611967521109 -6.01611967521109
26 -6.69897224459219 -6.69897224459219
27 -10.9900899462434 -10.9900899462434
28 -3.35829465473753 -3.35829465473753
29 -11.3924544673023 -11.3924544673023
30 -11.3020959112361 -11.3020959112361
31 5.47538289611087 5.47538289611085
32 -2.50567705956544 -2.50567705956543
33 -9.99363855159922 -9.99363855159921
34 -7.0833875953082 -7.0833875953082
35 2.18247205974981 2.18247205974981
36 -13.1015271002309 -13.1015271002309
37 -8.33653495258967 -8.33653495258968
38 10.0114073536527 10.0114073536527
39 -9.24663424373556 -9.24663424373556
40 -15.4266573219274 -15.4266573219274
41 -12.7478703436863 -12.7478703436863
42 -7.50839748098662 -7.50839748098662
43 -10.5761977763518 -10.5761977763518
44 -7.38577602347594 -7.38577602347594
45 -12.3201741118154 -12.3201741118154
46 -9.50774885871055 -9.50774885871055
47 1.94682087979174 1.94682087979174
48 -10.4367273647966 -10.4367273647967
49 -9.10353918572151 -9.10353918572151
50 -7.05229677469944 -7.05229677469944
51 22.7790881200108 22.7790881200108
52 6.19356373799506 6.19356373799505
53 -7.81767180108942 -7.81767180108943
54 -10.8057121321112 -10.8057121321112
55 -3.73960724944472 -3.73960724944472
56 -13.8250167182593 -13.8250167182593
57 13.02167627125 13.02167627125
